	T[st.C]	T[K]		T[st.F]
	-30	  243.15	-22.00
	-28	  245.15	-18.40
	-26	  247.15	-14.80
	-24	  249.15	-11.20
	-22	  251.15	 -7.60
	-20	  253.15	 -4.00
	-18	  255.15	 -0.40
	-16	  257.15	  3.20
	-14	  259.15	  6.80
	-12	  261.15	 10.40
	-10	  263.15	 14.00
	 -8	  265.15	 17.60
	 -6	  267.15	 21.20
	 -4	  269.15	 24.80
	 -2	  271.15	 28.40
	  0	  273.15	 32.00
	  2	  275.15	 35.60
	  4	  277.15	 39.20
	  6	  279.15	 42.80
	  8	  281.15	 46.40
	 10	  283.15	 50.00
	 12	  285.15	 53.60
	 14	  287.15	 57.20
	 16	  289.15	 60.80
	 18	  291.15	 64.40
	 20	  293.15	 68.00
	 22	  295.15	 71.60
	 24	  297.15	 75.20
	 26	  299.15	 78.80
	 28	  301.15	 82.40
	 30	  303.15	 86.00
	 32	  305.15	 89.60
	 34	  307.15	 93.20
	 36	  309.15	 96.80
	 38	  311.15	100.40
	 40	  313.15	104.00
